space_number,year,label,space_type,effect,red_cycle_effect,blue_cycle_effect
1,2020,Normal Was Cancelled,Timeline,"Start here. Welcome to the decade.","No effect.","No effect."
2,2020,Lockdown Begins,Pandemic Panic,"Lose 1 Sanity or 1 Freedom.","Gain 1 Freedom if you protest the rules.","Gain 1 Influence if you post the rules."
3,2020,Toilet Paper Economy,Market Crash,"Lose 1 Money or discard a Survival card.","Gain 1 Money if you have The Prepper.","Lower Panic by 1 if you share supplies."
4,2020,Square And Compass,Square & Compass,"Draw one Conspiracy card.","Panic rises by 1.","Control rises by 1."
5,2020,Remote Everything,Tech Leap,"Gain 1 Influence or move forward 1.","Gain 1 Money if your Influence is 4+.","Gain 1 Influence if your Sanity is 4+."
6,2020,Murder Hornet Panic,Breaking News,"Draw one Headline card.","Panic rises by 1.","Panic rises by 1."
7,2021,New Year Same Timeline,Timeline,"Recover 1 Sanity.","Gain 1 Freedom.","Gain 1 Influence."
8,2021,Expert Panel Weekend,Breaking News,"Draw one Headline card.","Lose 1 Sanity unless Money is 5+.","Control rises by 1."
9,2021,Side Hustle Season,Survival Check,"Draw one Survival card.","Gain 1 Money.","Gain 1 Influence."
10,2021,Algorithm Rabbit Hole,Square & Compass,"Draw one Conspiracy card.","Panic rises by 1.","Panic rises by 1."
11,2021,Crypto Candle Worship,Market Crash,"Roll. 1-3 lose 1 Money. 4-6 gain 1 Money.","Gain +1 Money on a win.","Market rises by 1 either way."
12,2021,Comment Section Court,Scandal,"Draw one Scandal card.","Lose 1 Influence if Panic is 4+.","Lose 1 Sanity if Control is 4+."
13,2022,Inflation Goblin,Market Crash,"Lose 1 Money.","Gain 1 Freedom if Money is still 5+.","Gain 1 Influence if you lower Market by 1."
14,2022,Supply Chain Side Quest,Breaking News,"Draw one Headline card.","Draw a Survival card if you lose Money.","Control rises by 1 if anyone loses Money."
15,2022,Touch Grass Moment,Awakening,"Recover 1 Sanity or 1 Freedom.","Recover Freedom.","Recover Sanity."
16,2022,War Rumour Cycle,Breaking News,"Draw one Headline card.","Panic rises by 1.","Panic rises by 1."
